id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Food and drink,Seat comfort,Checkin service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
75241,Male,Loyal Customer,22,Personal Travel,Eco,1846,4,5,5,4,5,40,68.0,Neutral or Dissatisfied
12312,Female,Loyal Customer,53,Business Travel,Eco,192,5,3,2,2,4,0,1.0,Satisfied
48372,Male,Loyal Customer,12,Personal Travel,Eco,674,3,1,1,4,1,80,70.0,Neutral or Dissatisfied
51477,Female,Loyal Customer,39,Business Travel,Business,370,3,2,5,4,5,10,12.0,Satisfied
84204,Female,Loyal Customer,55,Business Travel,Business,3169,1,3,4,3,5,73,68.0,Satisfied
70990,Female,Disloyal Customer,32,Business Travel,Business,802,4,2,4,3,2,0,10.0,Neutral or Dissatisfied
101991,Female,Loyal Customer,40,Personal Travel,Eco,628,1,5,5,5,5,4,0.0,Neutral or Dissatisfied
87447,Female,Disloyal Customer,42,Business Travel,Business,373,3,4,4,5,4,0,0.0,Neutral or Dissatisfied
16112,Male,Disloyal Customer,24,Business Travel,Eco,725,4,2,2,1,2,0,4.0,Satisfied
16172,Male,Loyal Customer,22,Business Travel,Business,277,3,3,3,3,3,116,177.0,Neutral or Dissatisfied
106558,Female,Loyal Customer,28,Business Travel,Business,1024,1,4,4,5,4,0,3.0,Satisfied
11536,Female,Loyal Customer,36,Business Travel,Eco Plus,267,2,2,2,4,2,59,55.0,Neutral or Dissatisfied
47773,Female,Loyal Customer,62,Business Travel,Eco,550,5,4,1,5,2,92,90.0,Satisfied
70521,Female,Loyal Customer,60,Business Travel,Business,1889,2,3,4,5,3,0,0.0,Satisfied
96283,Female,Loyal Customer,59,Personal Travel,Eco,460,2,3,4,1,2,4,2.0,Neutral or Dissatisfied
117993,Female,Loyal Customer,49,Business Travel,Business,3295,4,2,4,5,3,0,4.0,Satisfied
74703,Female,Loyal Customer,44,Personal Travel,Eco,1205,2,4,3,2,2,0,0.0,Neutral or Dissatisfied
110840,Female,Loyal Customer,58,Personal Travel,Eco Plus,990,3,3,5,5,3,0,0.0,Neutral or Dissatisfied
88249,Male,Disloyal Customer,24,Business Travel,Business,444,4,2,2,3,2,20,32.0,Satisfied
125877,Female,Loyal Customer,53,Business Travel,Eco,520,4,3,4,3,3,17,0.0,Satisfied
83968,Male,Loyal Customer,56,Business Travel,Eco,321,2,2,2,3,2,0,0.0,Neutral or Dissatisfied
122719,Female,Loyal Customer,30,Business Travel,Business,651,3,5,5,3,5,0,0.0,Satisfied
3949,Male,Disloyal Customer,27,Business Travel,Business,764,3,2,2,3,2,30,46.0,Neutral or Dissatisfied
45542,Male,Loyal Customer,27,Business Travel,Business,566,3,5,5,1,5,0,0.0,Satisfied
43742,Female,Loyal Customer,67,Personal Travel,Eco,626,3,2,5,3,5,0,0.0,Neutral or Dissatisfied
122093,Female,Loyal Customer,32,Personal Travel,Eco,130,3,4,5,5,4,3,4.0,Neutral or Dissatisfied
121454,Male,Disloyal Customer,36,Business Travel,Eco,331,2,1,1,1,1,0,0.0,Neutral or Dissatisfied
738,Male,Loyal Customer,44,Business Travel,Business,158,3,5,5,4,5,66,57.0,Satisfied
75235,Female,Loyal Customer,70,Personal Travel,Eco,1829,1,2,5,4,3,0,0.0,Neutral or Dissatisfied
88653,Female,Loyal Customer,55,Personal Travel,Eco,646,3,4,4,4,3,0,3.0,Neutral or Dissatisfied
26594,Male,Loyal Customer,66,Business Travel,Eco,404,4,4,4,2,4,9,6.0,Satisfied
38339,Female,Loyal Customer,19,Business Travel,Business,2738,5,3,3,1,3,0,0.0,Satisfied
46063,Female,Loyal Customer,53,Personal Travel,Eco Plus,964,1,4,5,5,4,6,0.0,Neutral or Dissatisfied
27957,Male,Loyal Customer,22,Business Travel,Business,1660,2,2,2,2,2,0,0.0,Neutral or Dissatisfied
17270,Female,Loyal Customer,69,Personal Travel,Eco,872,2,4,3,3,3,14,0.0,Neutral or Dissatisfied
87976,Female,Loyal Customer,42,Business Travel,Business,1898,5,5,4,4,3,49,47.0,Satisfied
31640,Female,Loyal Customer,41,Business Travel,Business,967,2,2,5,5,5,44,40.0,Satisfied
41461,Female,Loyal Customer,53,Personal Travel,Business,1242,3,3,5,4,4,3,0.0,Neutral or Dissatisfied
15143,Male,Loyal Customer,35,Business Travel,Business,1042,3,2,3,3,2,0,0.0,Neutral or Dissatisfied
78136,Female,Loyal Customer,54,Personal Travel,Business,153,3,2,5,4,5,0,0.0,Neutral or Dissatisfied
120433,Male,Loyal Customer,44,Business Travel,Business,366,3,2,4,3,4,5,24.0,Satisfied
41440,Female,Disloyal Customer,26,Business Travel,Eco Plus,913,1,4,3,1,4,0,0.0,Neutral or Dissatisfied
15963,Female,Loyal Customer,44,Personal Travel,Eco,528,2,2,4,3,3,0,0.0,Neutral or Dissatisfied
64303,Female,Disloyal Customer,24,Business Travel,Eco,1172,2,5,5,4,5,28,27.0,Neutral or Dissatisfied
3608,Female,Loyal Customer,54,Personal Travel,Eco,999,2,4,5,5,4,0,0.0,Neutral or Dissatisfied
7744,Male,Loyal Customer,42,Business Travel,Eco Plus,489,2,2,2,1,2,0,0.0,Neutral or Dissatisfied
21276,Male,Disloyal Customer,36,Business Travel,Eco,692,1,1,1,1,1,0,0.0,Neutral or Dissatisfied
58576,Female,Loyal Customer,61,Business Travel,Business,1585,2,1,5,4,4,24,20.0,Satisfied
53888,Female,Loyal Customer,50,Personal Travel,Eco,140,2,4,5,3,5,0,0.0,Neutral or Dissatisfied
10980,Male,Loyal Customer,27,Business Travel,Business,2729,3,5,5,5,5,44,52.0,Satisfied
54151,Male,Loyal Customer,55,Business Travel,Business,1400,3,4,2,1,4,1,0.0,Neutral or Dissatisfied
115641,Male,Disloyal Customer,21,Business Travel,Eco,447,2,1,1,4,1,7,0.0,Neutral or Dissatisfied
58584,Female,Loyal Customer,31,Personal Travel,Business,334,2,5,5,2,5,5,0.0,Neutral or Dissatisfied
50472,Female,Disloyal Customer,37,Business Travel,Eco,158,1,1,1,4,1,24,20.0,Neutral or Dissatisfied
102623,Female,Loyal Customer,50,Business Travel,Business,3696,1,2,4,4,5,9,0.0,Satisfied
31533,Female,Loyal Customer,21,Personal Travel,Eco,846,1,3,3,4,3,9,17.0,Neutral or Dissatisfied
42287,Female,Loyal Customer,53,Business Travel,Eco,329,1,1,3,4,1,0,0.0,Neutral or Dissatisfied
70467,Male,Loyal Customer,45,Business Travel,Business,2580,3,3,4,3,4,0,11.0,Satisfied
20461,Female,Disloyal Customer,42,Business Travel,Eco,84,3,5,5,5,5,0,34.0,Neutral or Dissatisfied
113346,Male,Loyal Customer,59,Business Travel,Business,3358,3,3,4,4,3,0,0.0,Satisfied
115566,Female,Loyal Customer,54,Business Travel,Eco,308,2,5,3,4,1,83,95.0,Neutral or Dissatisfied
119896,Female,Loyal Customer,46,Business Travel,Business,912,1,2,4,5,4,5,0.0,Satisfied
88853,Female,Loyal Customer,52,Personal Travel,Eco Plus,406,3,2,4,3,4,0,0.0,Neutral or Dissatisfied
24895,Female,Loyal Customer,38,Personal Travel,Eco,397,2,5,5,5,5,0,0.0,Neutral or Dissatisfied
31122,Male,Loyal Customer,35,Business Travel,Business,2409,3,1,3,3,3,0,0.0,Satisfied
91231,Female,Loyal Customer,41,Personal Travel,Eco,545,2,4,4,1,4,0,0.0,Neutral or Dissatisfied
61426,Female,Disloyal Customer,40,Business Travel,Business,2419,2,4,4,3,4,0,0.0,Neutral or Dissatisfied
68873,Female,Disloyal Customer,36,Business Travel,Eco,1061,2,4,4,4,4,13,0.0,Neutral or Dissatisfied
125701,Male,Loyal Customer,67,Personal Travel,Eco,899,2,2,2,5,2,0,0.0,Neutral or Dissatisfied
94999,Female,Loyal Customer,38,Personal Travel,Eco,293,4,5,5,4,5,5,0.0,Satisfied
56694,Female,Loyal Customer,50,Personal Travel,Eco,1085,3,5,5,3,4,0,0.0,Neutral or Dissatisfied
62010,Male,Loyal Customer,50,Business Travel,Business,2475,5,2,4,3,5,0,0.0,Satisfied
95868,Male,Loyal Customer,54,Business Travel,Business,2544,5,5,5,4,5,62,66.0,Satisfied
123064,Male,Loyal Customer,56,Business Travel,Business,2556,4,4,4,3,5,117,113.0,Satisfied
103418,Male,Loyal Customer,38,Personal Travel,Eco,237,3,2,2,4,2,0,2.0,Neutral or Dissatisfied
73456,Female,Loyal Customer,7,Personal Travel,Eco,1120,3,2,2,5,2,16,13.0,Neutral or Dissatisfied
8851,Female,Loyal Customer,32,Business Travel,Business,2668,5,4,4,5,4,2,0.0,Satisfied
64241,Male,Loyal Customer,45,Business Travel,Eco,1660,4,4,4,4,4,0,7.0,Neutral or Dissatisfied
81723,Male,Disloyal Customer,25,Business Travel,Eco,1310,2,3,3,1,3,0,24.0,Neutral or Dissatisfied
88237,Female,Loyal Customer,45,Business Travel,Business,2374,5,4,4,5,5,0,0.0,Satisfied
50619,Male,Loyal Customer,34,Personal Travel,Eco,209,3,1,1,2,1,0,0.0,Neutral or Dissatisfied
54444,Male,Loyal Customer,20,Personal Travel,Eco Plus,305,3,1,1,4,1,5,2.0,Neutral or Dissatisfied
64765,Female,Disloyal Customer,36,Business Travel,Eco,247,2,1,1,1,1,16,6.0,Neutral or Dissatisfied
15941,Male,Disloyal Customer,36,Business Travel,Eco,338,3,2,2,1,2,0,0.0,Neutral or Dissatisfied
14965,Male,Loyal Customer,27,Business Travel,Business,3200,1,5,5,2,5,0,0.0,Satisfied
36897,Male,Loyal Customer,40,Personal Travel,Eco,1368,3,3,3,3,3,0,0.0,Neutral or Dissatisfied
127954,Male,Loyal Customer,31,Business Travel,Business,1999,4,5,5,3,5,0,4.0,Satisfied
27872,Male,Loyal Customer,25,Business Travel,Eco Plus,680,0,1,1,5,1,0,0.0,Satisfied
35854,Male,Loyal Customer,42,Business Travel,Business,537,2,1,3,4,3,0,0.0,Satisfied
14527,Female,Loyal Customer,45,Business Travel,Eco,288,5,1,3,1,3,29,40.0,Satisfied
47021,Male,Loyal Customer,59,Personal Travel,Business,639,2,4,3,2,1,0,11.0,Neutral or Dissatisfied
11224,Male,Loyal Customer,34,Personal Travel,Eco,201,3,2,5,3,2,3,8.0,Neutral or Dissatisfied
3921,Female,Loyal Customer,22,Personal Travel,Eco,213,3,3,1,3,3,0,17.0,Neutral or Dissatisfied
69463,Male,Loyal Customer,21,Personal Travel,Eco,1096,2,2,3,2,2,0,0.0,Neutral or Dissatisfied
47050,Male,Loyal Customer,26,Business Travel,Business,1680,3,3,3,2,3,27,10.0,Neutral or Dissatisfied
21970,Male,Loyal Customer,37,Business Travel,Business,2401,2,5,1,1,5,94,86.0,Satisfied
30046,Male,Loyal Customer,38,Business Travel,Business,2746,2,2,2,1,5,0,0.0,Satisfied
1256,Female,Loyal Customer,17,Personal Travel,Eco,89,3,5,3,5,5,0,0.0,Neutral or Dissatisfied
73813,Male,Loyal Customer,15,Personal Travel,Eco Plus,192,2,5,5,5,5,5,8.0,Neutral or Dissatisfied
110928,Female,Loyal Customer,53,Personal Travel,Eco,404,3,4,4,1,2,0,0.0,Neutral or Dissatisfied
102981,Male,Disloyal Customer,39,Business Travel,Business,546,4,2,2,3,2,93,88.0,Neutral or Dissatisfied
61571,Male,Loyal Customer,40,Business Travel,Business,2400,4,2,5,3,3,0,0.0,Satisfied
3796,Female,Disloyal Customer,28,Business Travel,Eco Plus,599,2,4,4,1,4,0,46.0,Neutral or Dissatisfied
73906,Female,Disloyal Customer,27,Business Travel,Business,2342,3,2,2,3,2,10,0.0,Neutral or Dissatisfied
74090,Female,Loyal Customer,41,Business Travel,Business,3046,5,3,5,4,5,0,0.0,Satisfied
76645,Female,Loyal Customer,7,Personal Travel,Eco,516,2,5,5,5,5,0,0.0,Neutral or Dissatisfied
100462,Male,Disloyal Customer,48,Business Travel,Business,759,3,2,2,4,2,2,1.0,Neutral or Dissatisfied
54164,Male,Loyal Customer,13,Business Travel,Eco,1400,2,2,2,3,2,0,0.0,Neutral or Dissatisfied
6147,Female,Loyal Customer,48,Business Travel,Business,491,3,4,4,3,5,0,0.0,Satisfied
1262,Female,Loyal Customer,49,Personal Travel,Eco,134,3,5,3,1,4,8,3.0,Neutral or Dissatisfied
20310,Male,Disloyal Customer,26,Business Travel,Business,900,5,1,1,5,1,5,0.0,Satisfied
46896,Male,Loyal Customer,22,Business Travel,Business,3648,2,3,3,5,3,0,0.0,Satisfied
7237,Female,Loyal Customer,53,Business Travel,Business,3769,3,1,1,1,1,180,178.0,Neutral or Dissatisfied
44293,Female,Loyal Customer,43,Business Travel,Eco,563,4,3,5,5,5,0,0.0,Satisfied
52496,Male,Loyal Customer,56,Business Travel,Business,3131,1,2,4,4,5,0,0.0,Satisfied
68263,Female,Loyal Customer,69,Personal Travel,Eco,631,3,3,4,1,1,0,0.0,Neutral or Dissatisfied
5289,Male,Loyal Customer,59,Personal Travel,Eco,351,4,1,1,2,1,0,0.0,Satisfied
109359,Female,Loyal Customer,56,Business Travel,Business,1189,5,5,5,4,3,9,0.0,Satisfied
94988,Male,Loyal Customer,11,Personal Travel,Eco,562,5,3,3,1,3,0,0.0,Satisfied
53605,Female,Loyal Customer,25,Business Travel,Eco,1874,4,4,3,5,4,86,78.0,Satisfied
11005,Female,Disloyal Customer,29,Business Travel,Eco,158,4,2,2,2,2,0,0.0,Satisfied
14794,Female,Loyal Customer,48,Business Travel,Eco,95,5,1,1,1,2,0,0.0,Satisfied
49480,Female,Loyal Customer,42,Business Travel,Business,266,1,4,4,2,1,0,0.0,Satisfied
120440,Male,Disloyal Customer,15,Business Travel,Eco,449,1,3,4,4,3,0,0.0,Neutral or Dissatisfied
55823,Female,Disloyal Customer,49,Business Travel,Business,1416,3,2,2,5,2,0,0.0,Neutral or Dissatisfied
107792,Male,Loyal Customer,41,Business Travel,Business,2388,2,5,4,5,5,29,18.0,Satisfied
80531,Male,Loyal Customer,43,Business Travel,Business,1678,1,3,4,4,5,0,0.0,Satisfied
128145,Male,Loyal Customer,60,Business Travel,Business,1972,5,4,5,5,3,0,0.0,Satisfied
63370,Female,Loyal Customer,42,Personal Travel,Eco,337,4,3,3,2,2,0,0.0,Satisfied
12452,Female,Loyal Customer,8,Personal Travel,Eco,253,3,4,4,4,4,0,0.0,Neutral or Dissatisfied
16145,Female,Loyal Customer,42,Business Travel,Eco,212,5,5,5,5,2,82,72.0,Satisfied
44418,Male,Disloyal Customer,18,Business Travel,Eco Plus,342,1,3,3,1,3,32,41.0,Neutral or Dissatisfied
95746,Male,Loyal Customer,47,Business Travel,Business,3556,2,3,3,3,4,0,0.0,Satisfied
41134,Female,Disloyal Customer,27,Business Travel,Eco,191,4,5,5,2,5,16,12.0,Neutral or Dissatisfied
3214,Female,Loyal Customer,67,Personal Travel,Eco Plus,693,3,5,2,1,4,100,91.0,Neutral or Dissatisfied
74101,Male,Disloyal Customer,38,Business Travel,Business,641,5,2,2,3,2,0,0.0,Satisfied
106220,Female,Disloyal Customer,20,Business Travel,Eco,471,4,3,3,5,3,0,0.0,Neutral or Dissatisfied
88134,Female,Loyal Customer,60,Business Travel,Business,3823,2,4,4,3,3,1,0.0,Satisfied
64475,Male,Disloyal Customer,23,Business Travel,Business,282,4,4,4,3,4,9,1.0,Satisfied
123812,Male,Disloyal Customer,25,Business Travel,Business,544,3,2,2,4,2,0,0.0,Neutral or Dissatisfied
88893,Female,Loyal Customer,38,Business Travel,Business,2955,3,3,5,3,3,0,0.0,Satisfied
31244,Female,Loyal Customer,40,Business Travel,Business,2806,1,3,5,5,5,0,4.0,Satisfied
97762,Male,Loyal Customer,19,Personal Travel,Eco,587,3,1,1,4,1,0,0.0,Neutral or Dissatisfied
59851,Female,Loyal Customer,61,Business Travel,Business,2073,3,4,4,4,5,6,0.0,Satisfied
25137,Male,Loyal Customer,44,Personal Travel,Eco,1249,3,5,5,4,5,25,6.0,Neutral or Dissatisfied
18412,Female,Loyal Customer,22,Personal Travel,Eco,284,3,3,3,3,3,34,35.0,Neutral or Dissatisfied
87192,Female,Disloyal Customer,8,Business Travel,Eco,946,2,3,3,4,3,2,0.0,Neutral or Dissatisfied
127062,Female,Loyal Customer,45,Business Travel,Business,3947,3,3,4,4,3,25,16.0,Neutral or Dissatisfied
112169,Male,Loyal Customer,46,Personal Travel,Eco,895,4,1,1,3,1,40,25.0,Satisfied
127798,Female,Loyal Customer,54,Business Travel,Business,1634,3,4,4,3,1,90,77.0,Neutral or Dissatisfied
91778,Male,Loyal Customer,62,Personal Travel,Eco,588,2,1,1,2,1,0,0.0,Neutral or Dissatisfied
42609,Female,Loyal Customer,25,Business Travel,Business,2533,5,2,2,1,2,0,0.0,Satisfied
67482,Female,Loyal Customer,32,Personal Travel,Eco,641,3,2,2,5,2,0,0.0,Neutral or Dissatisfied
91108,Female,Loyal Customer,65,Personal Travel,Eco,581,4,4,4,4,5,1,3.0,Neutral or Dissatisfied
102318,Male,Disloyal Customer,40,Business Travel,Business,223,2,2,2,3,2,0,0.0,Neutral or Dissatisfied
51281,Female,Loyal Customer,30,Business Travel,Eco Plus,326,0,2,2,4,2,0,0.0,Satisfied
6528,Female,Loyal Customer,67,Personal Travel,Eco,599,3,1,2,2,1,0,0.0,Neutral or Dissatisfied
121232,Male,Loyal Customer,51,Business Travel,Business,2075,5,2,5,3,3,0,0.0,Satisfied
72478,Female,Loyal Customer,47,Business Travel,Business,964,5,5,5,4,3,1,3.0,Satisfied
122788,Female,Loyal Customer,38,Business Travel,Eco,599,1,1,1,3,1,8,0.0,Neutral or Dissatisfied
5528,Male,Loyal Customer,54,Business Travel,Business,3138,1,5,4,3,4,0,0.0,Satisfied
107726,Female,Loyal Customer,57,Personal Travel,Eco,251,1,3,3,5,3,0,4.0,Neutral or Dissatisfied
72606,Male,Loyal Customer,13,Personal Travel,Eco,1119,1,2,2,5,2,0,0.0,Neutral or Dissatisfied
75522,Female,Disloyal Customer,20,Business Travel,Eco,337,4,4,4,4,4,0,0.0,Satisfied
125687,Female,Loyal Customer,45,Business Travel,Business,759,2,2,1,3,4,23,94.0,Neutral or Dissatisfied
79908,Female,Loyal Customer,51,Business Travel,Business,2344,2,3,5,3,3,0,0.0,Satisfied
117345,Male,Disloyal Customer,25,Business Travel,Business,296,0,2,2,5,2,0,0.0,Satisfied
73465,Female,Loyal Customer,39,Personal Travel,Eco,1005,1,2,5,5,5,168,163.0,Neutral or Dissatisfied
95851,Female,Loyal Customer,46,Business Travel,Business,580,3,3,4,3,5,18,16.0,Satisfied
44992,Male,Loyal Customer,53,Business Travel,Eco,359,1,1,1,4,1,0,0.0,Neutral or Dissatisfied
70631,Female,Loyal Customer,61,Personal Travel,Eco,1217,0,5,5,4,4,0,0.0,Satisfied
13761,Female,Loyal Customer,61,Business Travel,Eco Plus,384,4,3,2,3,5,96,102.0,Satisfied
74968,Male,Loyal Customer,16,Personal Travel,Eco,2586,3,4,4,5,4,45,42.0,Neutral or Dissatisfied
12371,Female,Loyal Customer,44,Business Travel,Business,2903,2,2,3,3,1,0,1.0,Neutral or Dissatisfied
8378,Female,Loyal Customer,17,Business Travel,Business,3170,5,5,5,1,5,16,0.0,Satisfied
82080,Female,Loyal Customer,50,Business Travel,Eco,1276,2,4,3,1,1,35,49.0,Neutral or Dissatisfied
107972,Female,Disloyal Customer,40,Business Travel,Business,825,4,5,5,3,5,0,4.0,Satisfied
101228,Male,Loyal Customer,47,Business Travel,Business,2204,5,4,4,4,3,6,0.0,Satisfied
85577,Female,Loyal Customer,80,Business Travel,Business,3464,1,2,4,5,4,0,0.0,Satisfied
2717,Female,Loyal Customer,38,Personal Travel,Eco,562,5,4,4,4,4,0,0.0,Satisfied
88529,Male,Loyal Customer,31,Personal Travel,Eco,404,5,3,3,4,3,0,0.0,Satisfied
91613,Male,Loyal Customer,59,Business Travel,Business,1199,4,5,4,3,1,0,15.0,Neutral or Dissatisfied
88865,Female,Loyal Customer,22,Business Travel,Business,1968,4,4,4,4,4,0,0.0,Neutral or Dissatisfied
96960,Female,Loyal Customer,53,Business Travel,Business,2560,5,5,5,3,3,0,3.0,Satisfied
51191,Female,Loyal Customer,56,Business Travel,Eco Plus,308,4,5,4,5,2,0,0.0,Satisfied
9461,Female,Loyal Customer,48,Personal Travel,Eco,362,4,2,5,5,4,0,0.0,Neutral or Dissatisfied
66384,Male,Disloyal Customer,38,Business Travel,Business,1562,3,2,2,3,2,2,25.0,Neutral or Dissatisfied
41934,Male,Loyal Customer,64,Personal Travel,Eco,129,1,1,1,4,1,13,9.0,Neutral or Dissatisfied
25381,Male,Loyal Customer,67,Personal Travel,Eco,591,2,5,3,3,5,0,0.0,Neutral or Dissatisfied
14757,Female,Loyal Customer,62,Business Travel,Business,3692,2,3,2,1,2,0,0.0,Satisfied
94013,Male,Loyal Customer,57,Business Travel,Business,1859,1,2,5,5,5,16,15.0,Satisfied
80107,Female,Disloyal Customer,27,Business Travel,Eco,986,2,1,1,1,1,24,32.0,Neutral or Dissatisfied
23590,Female,Disloyal Customer,25,Business Travel,Eco,1024,1,5,5,1,5,13,11.0,Neutral or Dissatisfied
110384,Female,Loyal Customer,52,Business Travel,Eco,919,3,3,2,1,1,85,72.0,Neutral or Dissatisfied
15069,Female,Loyal Customer,45,Business Travel,Eco Plus,576,4,3,3,5,2,0,0.0,Satisfied
17128,Female,Disloyal Customer,23,Business Travel,Eco,423,3,1,1,3,1,6,13.0,Neutral or Dissatisfied
54060,Male,Loyal Customer,55,Business Travel,Eco,1416,5,5,5,2,5,1,0.0,Satisfied
129240,Male,Loyal Customer,53,Business Travel,Business,1464,3,5,4,3,3,0,0.0,Neutral or Dissatisfied
97165,Female,Loyal Customer,9,Personal Travel,Eco,715,4,1,1,4,1,11,4.0,Satisfied
111696,Male,Loyal Customer,33,Business Travel,Business,541,2,4,4,3,4,86,85.0,Satisfied
1887,Male,Disloyal Customer,64,Business Travel,Business,293,3,3,3,4,3,3,0.0,Neutral or Dissatisfied
89086,Female,Disloyal Customer,8,Business Travel,Eco,2092,2,4,4,3,4,26,23.0,Neutral or Dissatisfied
35485,Male,Loyal Customer,34,Personal Travel,Eco,1053,4,3,3,3,3,34,15.0,Neutral or Dissatisfied
35719,Male,Loyal Customer,59,Personal Travel,Eco,2521,1,1,5,5,5,0,2.0,Neutral or Dissatisfied
85669,Female,Loyal Customer,13,Business Travel,Business,2544,3,3,3,3,3,0,0.0,Neutral or Dissatisfied
1137,Male,Loyal Customer,44,Personal Travel,Eco,158,4,2,2,4,2,0,0.0,Neutral or Dissatisfied
8358,Male,Loyal Customer,54,Business Travel,Business,1741,1,4,5,4,3,0,0.0,Satisfied
17217,Male,Loyal Customer,36,Business Travel,Business,2651,4,3,4,5,3,10,0.0,Satisfied
44847,Female,Loyal Customer,11,Personal Travel,Eco,760,3,5,5,4,5,102,88.0,Neutral or Dissatisfied
96673,Female,Loyal Customer,32,Personal Travel,Eco,1036,1,5,5,5,5,12,9.0,Neutral or Dissatisfied
80152,Male,Loyal Customer,42,Business Travel,Eco,2586,1,1,1,1,1,0,0.0,Neutral or Dissatisfied
82277,Female,Disloyal Customer,27,Business Travel,Eco,1081,1,2,2,3,2,4,0.0,Neutral or Dissatisfied
123927,Male,Loyal Customer,33,Personal Travel,Eco,646,2,3,3,2,3,1,0.0,Neutral or Dissatisfied
115766,Female,Loyal Customer,28,Business Travel,Business,308,1,1,1,3,1,0,0.0,Neutral or Dissatisfied
21134,Male,Loyal Customer,44,Personal Travel,Eco,227,4,2,2,5,2,0,0.0,Satisfied
112062,Male,Disloyal Customer,49,Business Travel,Eco,1754,3,4,5,4,4,33,28.0,Neutral or Dissatisfied
28643,Male,Loyal Customer,59,Business Travel,Business,2176,2,3,2,4,4,5,0.0,Satisfied
108010,Male,Disloyal Customer,20,Business Travel,Business,271,0,1,1,4,1,0,0.0,Satisfied
92145,Female,Loyal Customer,46,Business Travel,Business,1522,3,3,4,3,5,0,0.0,Satisfied
115846,Male,Loyal Customer,36,Business Travel,Eco,325,5,5,5,1,5,0,0.0,Satisfied
